type,n,acc_with,acc_nohint,acc_flip,delta_acc_mean,hint_follow_with,hint_follow_flip,HTR,deny_but_use_with,admit_but_ignore_with
helpful,197,0.9898477157360406,0.9695431472081218,0.8121827411167513,0.02030456852791878,0.9898477157360406,0.18274111675126903,0.18274111675126903,0.9441624365482234,0.0
misleading,211,0.8199052132701422,0.995260663507109,0.8151658767772512,-0.17535545023696683,0.18009478672985782,0.1848341232227488,0.1848341232227488,0.16113744075829384,0.04265402843601896
irrelevant,192,1.0,0.9895833333333334,nan,0.010416666666666666,nan,nan,nan,0.0,0.0
