group,n,accuracy,hint_follow,deny_but_use,admit_but_ignore,probe_acc
helpful,197,0.9898477157360406,0.9898477157360406,0.8274111675126904,0.0,0.0
misleading,211,0.8341232227488151,0.16113744075829384,0.12796208530805686,0.13744075829383887,1.0
irrelevant,192,1.0,nan,nan,nan,1.0
overall,600,0.9383333333333334,0.5612745098039216,0.46568627450980393,0.07107843137254902,0.6716666666666666
